model,MAE,RMSE,R2
LinearRegression,128821.82913404703,239320.23703928877,0.6393878472900066
GradientBoosting,136086.99446761957,259526.12230313048,0.5759240287664502
ExtraTrees,124315.87052677985,280984.5663334099,0.5028969338942817
RandomForest,130219.55708919214,291036.1008302383,0.466695514610018
